Query,Language,Weight
447,ru,385
нет никого кроме него,ru,165
новая жизнь,ru,154
зоар,ru,146
введение в науку каббала (птиха),ru,137
вебинар,ru,122
голос творца внутри,ru,117
птиха,ru,104
шамати,ru,99
тайны вечной книги,ru,97
рабаш,ru,89
талмуд десяти сфирот,ru,87
молитва,ru,73
тэс,ru,73
затычка,ru,60
песах,ru,58
стенограмма,ru,55
конгресс,ru,50
учение десяти сфирот,ru,50
свиток эстер,ru,47
ари,ru,46
бааль сулам,ru,45
ешиват,ru,45
введение в науку каббала,ru,44
мир,ru,44
бааль,ru,42
телемост,ru,40
шамати - услышанное,ru,40
восприятие реальности,ru,38
мегилат эстер,ru,38
талмуд,ru,37
9 ава,ru,36
основы каббалы,ru,36
дарование торы,ru,35
каббала,ru,34
шамати 1,ru,34
мир в мире,ru,33
спроси каббалиста,ru,33
величие творца,ru,30
свобода воли,ru,29
том 1,ru,28
шавуот,ru,28
вебинары,ru,27
еда,ru,27
"тв передача № 11 ""каббалистическая психология""",ru,27
теилим - псалмы царя давида - в сокращении,ru,27
zohar,ru,26
аб,ru,26
любовь,ru,26
поручительство,ru,26
свобода,ru,26
что называется молитвой,ru,26
том 2,ru,25
введение,ru,24
ешиват хаверим,ru,24
наука каббала,ru,24
предисловие к книге зоар,ru,24
тора,ru,24
трапеза,ru,24
введение в науку каббала (птиха) 2003,ru,23
зоар ла ам,ru,23
ман,ru,23
древо жизни,ru,22
основы природы человека,ru,22
антисемитизм,ru,21
женский урок,ru,21
рав,ru,21
урок 1,ru,21
десяти сфирот,ru,20
предисловие к тэс,ru,20
"тафкид и в десятке ""шац,габай""",ru,20
урок,ru,20
шамати статья 1,ru,20
шамати статья 66,ru,20
каб тв,ru,19
подготовка к уроку,ru,19
пурим,ru,19
бешала,ru,18
молитва многих,ru,18
праздник песах,ru,18
свива това,ru,18
собрание товарищей,ru,18
сфирот,ru,18
точка в сердце,ru,18
01_,ru,17
введение в книгу зоар,ru,17
курс,ru,17
музыка,ru,17
наука,ru,17
песни,ru,17
последнее поколение,ru,17
тэс часть 3,ru,17
часть 2,ru,17
абсолютный ноль,ru,16
беседы,ru,16
виртуальный урок,ru,16
духовные состояния,ru,16
каббала для начинающих,ru,16
книги,ru,16
конгрес,ru,16
посох и змей,ru,16
предисловие,ru,16
распространение науки каббала,ru,16
утренний урок,ru,16
учение,ru,16
15 ава,ru,15
беседа,ru,15
внутреннее созерцание,ru,15
воспитание,ru,15
каббалистическая музыка,ru,15
народ,ru,15
