Language,Query,Weight,Bucket,#1,#2,#3,#4,#5,Comment,Type
he,542,1,מספר תכנית (חיים חדשים),https://kabbalahmedia.info/he/programs/cu/AsNLozeK,,,,,,program|cu
he,חיים חדשים 820,1,חיים חדשים + פרק,https://kabbalahmedia.info/he/programs/cu/S5cSiwqb,,,,,,
he,ובכל זאת אנחנו רוצים לשייך לה איזו עצמאות,1,תמליל,https://kabbalahmedia.info/he/lessons/cu/2MgmeVgY,,,,,,
he,משה בוטריל,1,ספר קבלה,https://kabbalahmedia.info/he/sources/J6U0kWO8,,,,,,source
he,מקובלים כותבים,1,תכנית טלוויזיה,https://kabbalahmedia.info/he/programs/c/fLWpcUjQ,,,,,,collection
he,חיים חדשים,1,חיים חדשים,https://kabbalahmedia.info/he/programs/c/zf4lLwyI,,,,,,collection
he,זוגיות,1,נושא חינוך אינטגראלי,https://kabbalahmedia.info/he/lessons?topics=rw4zkyI3,,,,,,topic
he,חיים חדשים קטעים נבחרים,1,חיים חדשים + נושא,https://kabbalahmedia.info/he/programs/c/G30TMsPn,,,,,,collection
he,מאמר החירות,1,ספר קבלה,https://kabbalahmedia.info/he/sources/4AtF9tGS,,,,,,source
ru,новая жизнь 820,1,,https://kabbalahmedia.info/he/programs/cu/S5cSiwqb,,,,,,
ru,шамати,1,,https://kabbalahmedia.info/he/sources/qMUUn22b,,,,,,
ru,письмо 62,1,source,https://kabbalahmedia.info/he/sources/YkCg0RF5,,,,,,
en,webinar,1,שיעור קבלה כללי,https://kabbalahmedia.info/lessons/virtual/c/VwCQ0OBq,,,,,,
en,new life with,1,חיים חדשים,https://kabbalahmedia.info/programs/c/zf4lLwyI,,,,,,
en,new life 820,1,חיים חדשים + פרק,https://kabbalahmedia.info/he/programs/cu/S5cSiwqb,,,,,,
