Language,Query,Weight,Bucket,#1,#2,#3,#4,#5,Comment,Grammar queries,P/A/O
he,542,5772,מספר תכנית (חיים חדשים),https://archive.kbb1.com/he/programs/cu/AsNLozeK,,,,,,,pragmatic
he,707,5772,מספר תכנית (חיים חדשים),https://archive.kbb1.com/he/programs/cu/fMJtiizU,,,,,,,pragmatic
he,103,5772,מספר תכנית (חיים חדשים),https://archive.kbb1.com/he/programs?program=%7CDx8UewbL,https://archive.kbb1.com/he/programs/cu/VrwG8S4o,,,,"All results are 103fm, should be more various",,pragmatic
he,209,5772,מספר תכנית (חיים חדשים),https://archive.kbb1.com/he/programs/cu/g0s6w9ze,,,,,,,pragmatic
he,פתיחה,2371,מאמר בקבלה,https://archive.kbb1.com/he/sources/kB3eD83I,[latest]https://archive.kbb1.com/he/lessons?source=bs_L2jMWyce_kB3eD83I,https://archive.kbb1.com/he/series/c/XZoflItG,https://archive.kbb1.com/he/series/c/Y4ybN1qM,https://archive.kbb1.com/he/series/c/yoLixtE4,"If date older then week, article goes first.",,pragmatic
he,הקדמה לספר הזוהר,2371,מאמר בקבלה,https://archive.kbb1.com/he/sources/ALlyoveA,[latest]https://archive.kbb1.com/he/lessons?source=bs_L2jMWyce_ALlyoveA,https://archive.kbb1.com/he/series/c/MTFgU93m,https://archive.kbb1.com/he/series/c/Si44p2MQ,,unclear which one is the correct....,,pragmatic
he,מתן תורה,2371,מאמר בקבלה,https://archive.kbb1.com/he/sources/2bscFWf4,[latest]https://archive.kbb1.com/he/lessons?source=bs_qMeV5M3Y_2bscFWf4,https://archive.kbb1.com/he/series/c/aMqw2MH4?language=he,https://archive.kbb1.com/he/series/c/ZuAHvIQ5?language=he,,,,pragmatic
he,מאמר השלום,2371,מאמר בקבלה,https://archive.kbb1.com/he/sources/28Cmp7gl,[latest]https://archive.kbb1.com/he/lessons?source=bs_qMeV5M3Y_28Cmp7gl,https://archive.kbb1.com/he/series/c/7YCqviDG?language=he,https://archive.kbb1.com/he/series/c/8d7OLC30?language=he,,,1,pragmatic
he,מבוא לספר הזוהר,2371,מאמר בקבלה,https://archive.kbb1.com/he/sources/tswzgnWk,[latest]https://archive.kbb1.com/he/lessons?source=bs_L2jMWyce_tswzgnWk,,,,,,pragmatic
he,מקובלים כותבים,1666,תכנית טלוויזיה,https://archive.kbb1.com/he/programs/c/fLWpcUjQ,,,,,results unsorted inside program,,pragmatic
he,עולמות נפגשים,1666,תכנית טלוויזיה,https://archive.kbb1.com/he/programs/c/FOOoTpLR,,,,,,,pragmatic
he,שאל את המקובל,1666,תכנית טלוויזיה,https://archive.kbb1.com/he/programs/c/TXrFZRBE,,,,,,,pragmatic
he,הפתרון,1666,תכנית טלוויזיה,https://archive.kbb1.com/he/programs/c/MvD8Dk2S,,,,,,,pragmatic
he,מורים דרך,1666,תכנית טלוויזיה,https://archive.kbb1.com/he/programs/c/JMkKQ7ZZ,,,,,unrelated results,,pragmatic
he,חיים חדשים,1586,חיים חדשים,https://archive.kbb1.com/he/programs/c/zf4lLwyI,,,,,groups,,pragmatic
he,חיים,1586,חיים חדשים,https://archive.kbb1.com/he/programs/c/zf4lLwyI,,,,,groups,,pragmatic
he,תוכנית חיים חדשים,1586,חיים חדשים,https://archive.kbb1.com/he/programs/c/zf4lLwyI,,,,,groups,1,pragmatic
he,אין עוד מלבדו,1513,נושא בקבלה,https://archive.kbb1.com/he/sources/hFeGidcS,[latest]https://archive.kbb1.com/he/lessons?source=bs_qMUUn22b_hFeGidcS,https://archive.kbb1.com/he/lessons?topic=0db5BBS3_Gvm4nh0t_zuwiS72C,https://archive.kbb1.com/he/programs?topic=0db5BBS3_Gvm4nh0t_zuwiS72C,missing this issue by congresses,unclear what is good,,pragmatic
