Language,Query,(16589) Weight,Bucket,#1,#2,#3,#4,#5,Comment,Translation
ru,шамати нет никого кроме него,536.0,Shamati,https://kabbalahmedia.info/ru/sources/hFeGidcS,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_hFeGidcS,,,,,Shamati no one except him
ru,шамати 1,536.0,Shamati,https://kabbalahmedia.info/ru/sources/hFeGidcS,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_hFeGidcS,,,,,şamati 1
ru,шамати 30,536.0,Shamati,https://kabbalahmedia.info/ru/sources/IKjYS3I4,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_IKjYS3I4,,,,,şamati 30
ru,Тайны вечной книги Ноах,514.0,The secrets of the eternal book,https://kabbalahmedia.info/ru/programs?program=educational_rF9s8T2V&dates=2009-04-08_2009-06-24,http://www.kabbalah.info/rus/content/view/frame/63327?/rus/content/view/full/63327&main,,,,,Secrets of the eternal book Noah
ru,"ТВ передача ""Тайны вечной книги""",514.0,The secrets of the eternal book,https://kabbalahmedia.info/ru/programs?program=educational_rF9s8T2V,http://www.kabbalah.info/rus/content/view/frame/63327?/rus/content/view/full/63327&main,,,,,"TV program ""Secrets of the eternal book"""
ru,тайна Вечной книги,514.0,The secrets of the eternal book,https://kabbalahmedia.info/ru/programs?program=educational_rF9s8T2V,http://www.kabbalah.info/rus/content/view/frame/63327?/rus/content/view/full/63327&main,,,,,Eternal secret book
ru,группа,13.0,Group,https://kabbalahmedia.info/ru/programs?dates=2018-01-18_2018-06-27&program=educational_DE7rP7vf,http://www.kabbalah.info/rus/content/view/full/93030,https://kabbalahmedia.info/ru/search?q=&sort_by=newertoolder&topic=0db5BBS3_Gvm4nh0t_fWs59UdO,https://kabbalahmedia.info/ru/search?q=&sort_by=newertoolder&topic=0db5BBS3_Gvm4nh0t_1fCA7U1x,https://kabbalahmedia.info/ru/search?q=&sort_by=newertoolder&topic=0db5BBS3_Gvm4nh0t_6lI2zgHp,,Group
ru,нет никого кроме него,426.0,Topic in Kabbalah,https://kabbalahmedia.info/ru/sources/hFeGidcS,https://kabbalahmedia.info/ru/lessons?source=bs_qMUUn22b_hFeGidcS,,,,,Nobody except him
ru,восприятие реальности,426.0,Topic in Kabbalah,http://www.kabbalah.info/rus/content/view/frame/103476?/rus/content/view/full/103476&main,https://kabbalahmedia.info/ru/lessons/cu/dcUblC2R?language=ru,https://kabbalahmedia.info/ru/search?q=%D0%BD%D0%B0%20%D1%82%D0%B5%D0%BC%D1%83%20%22%D0%92%D0%BE%D1%81%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%B8%D0%B5%20%D1%80%D0%B5%D0%B0%D0%BB%D1%8C%D0%BD%D0%BE%D1%81%D1%82%D0%B8%22&sort_by=newertoolder,,,,perception of reality
ru,поручительство,426.0,Topic in Kabbalah,https://kabbalahmedia.info/ru/sources/itcVAcFn,https://kabbalahmedia.info/ru/sources/6zlJ4KJH,https://kabbalahmedia.info/ru/sources/IILb9nI3,https://kabbalahmedia.info/ru/programs/c/YSySmqYD,https://kabbalahmedia.info/ru/lessons?topic=0db5BBS3_Gvm4nh0t_wJqY3829,,surety
ru,женский урок,67.0,Women,https://kabbalahmedia.info/ru/lessons/women,,,,,,female lesson
ru,женщина,67.0,Women,http://www.kabbalah.info/rus/content/view/full/47528,https://kabbalahmedia.info/ru/lessons/women,,,,,woman
ru,урок для женщин,67.0,Women,https://kabbalahmedia.info/ru/lessons/women,,,,,,lesson for women
ru,песах,86.3,Holidays,http://www.kabbalah.info/rus/content/view/full/69659,https://kabbalahmedia.info/ru/lessons/virtual/c/sg3UeSpN,https://kabbalahmedia.info/ru/search?q=%D0%BF%D0%B5%D1%81%D0%B0%D1%85,,,,Passover
ru,суккот,86.3,Holidays,http://www.kabbalah.info/rus/content/view/full/69662,https://kabbalahmedia.info/ru/search?q=%20%D0%A1%D1%83%D0%BA%D0%BA%D0%BE%D1%82,,,,,Sukko
ru,пурим,86.3,Holidays,http://www.kabbalah.info/rus/content/view/full/69658,https://kabbalahmedia.info/ru/search?q=%D0%9F%D1%83%D1%80%D0%B8%D0%BC,,,,,purim
ru,свива това,50.7,Navigational,http://kabbalahgroup.info/internet/ru/users/login,,,,,,this shrinks
ru,блог,50.7,Navigational,https://www.laitman.ru/,,,,,,blog
ru,каб тв,50.7,Navigational,http://kab.tv/rus,,,,,,to TV
ru,экран,170.7,Kabbalah concept,https://www.laitman.ru/duhovnaya-rabota/5526.html,https://kabbalahmedia.info/ru/lessons/daily?topic=0db5BBS3_SWTHcWg3_9ACenxnl,,,,,screen
ru,сфирот,170.7,Kabbalah concept,https://www.laitman.ru/questions-answers/202636.html,https://kabbalahmedia.info/ru/lessons/daily?topic=0db5BBS3_SWTHcWg3_wp5i9nTh,,,,,Sefirot
ru,Тора,170.7,Kabbalah concept,https://kabbalahmedia.info/ru/programs?source=mr_bvA8ZB1w,https://www.laitman.ru/search-results?cx=009476949152162131478%3Ae8s1qvvqlo0&cof=FORID%3A11&ie=UTF-8&q=%D1%82%D0%BE%D1%80%D0%B0&submit.x=9&submit.y=12,,,,,Torah
ru,музыка Бааль Сулама,115.0,Music,https://kabbalahmedia.info/ru/search?q=%22%D7%A0%D7%99%D7%92%D7%95%D7%A0%D7%99%20%D7%94%D7%A2%D7%95%D7%9C%D7%9D%20%D7%94%D7%91%D7%90%22,,,,,תאור קיים רק בעברית,music of Baal HaSulam
ru,духин,115.0,Music,https://kabbalahmedia.info/ru/search?q=%22%D7%93%D7%95%D7%9B%D7%99%D7%9F%22,,,,,,DUHIN
ru,пламя в пустыне,115.0,Music,https://kabbalahmedia.info/ru/search?q=%22%D0%9F%D0%BB%D0%B0%D0%BC%D1%8F%20%D0%B2%20%D0%BF%D1%83%D1%81%D1%82%D1%8B%D0%BD%D0%B5%22,https://www.youtube.com/watch?v=rhWJGYeC37U&t=20s,,,,,flame Desert
ru,уроки рабаша,9.0,Rabash recordings,https://kabbalahmedia.info/ru/lessons/rabash,,,,,,Rabash lessons
ru,Зоар ла АМ,311.3,Zohar,https://kabbalahmedia.info/ru/sources/yUcfylRm,http://zoar-sulam-rus.org/,,,,,Zohar la AM
ru,предисловие к книге зоар,311.3,Zohar,https://kabbalahmedia.info/ru/sources/ALlyoveA,,,,,,Preface to the Book of Zohar
