Language,Query,Weight,Bucket,Comment,Expectation,Parsed,SearchQuality,Rank
he,מחשבה היא בחינת מזונות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/0mkq7ck1,s|0mkq7ck1|,Good,1
he,אך טוב לישראל שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/0XV5DAz5,s|0XV5DAz5|,Good,1
he,זכו אחישנה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/0zNAuA0C,s|0zNAuA0C|,Good,1
he,מדוע אומרים לחיים שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/177BUIlc,s|177BUIlc|,Good,1
he,כי חרפוני צוררי כל היום שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/1Fx1eyuW,s|1Fx1eyuW|,Good,1
he,רשות הכל שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/1Grgyqyp,s|1Grgyqyp|,Good,1
he,לשמה זהו אתערותא דלעילא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/1onNjaw2,s|1onNjaw2|,Good,1
he,פן לקח מעץ החיים שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/2DgydMsJ,s|2DgydMsJ|,Good,1
he,אחיזה לחיצונים שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/2hdqjOhH,s|2hdqjOhH|,Good,1
he,רוחניות וגשמיות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/2jNsmxu8,s|2jNsmxu8|,Good,1
he,המן מן התורה מנין שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/328te3TV,s|328te3TV|,Good,1
he,"מהו, במסתרים תבכה נפשי, בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/3geW64zG,s|3geW64zG|,Good,1
he,ענין עולם שנה נפש שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/3Ljoqo9f,s|3Ljoqo9f|,Good,1
he,המחשבה היא תולדה מהרצון שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/4GW5T0i5,s|4GW5T0i5|,Good,1
he,כיסי המן שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/4NuvpBwy,s|4NuvpBwy|,Good,1
he,בחינת שכינתא בעפרא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/4sU63POC,s|4sU63POC|,Good,1
he,ההוא תלמיד דלמד בחשאי שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/4uYa8NZ8,s|4uYa8NZ8|,Good,1
he,המענג את השבת שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/55LYqXPX,s|55LYqXPX|,Good,1
he,"ענין חלק שנותנין לס""א, כדי שיפרד מהקדושה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/5cZY5x2S,s|5cZY5x2S|,Good,1
he,מקודם יהיה תיקון העולם שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/5eMML0AF,s|5eMML0AF|,Good,1
he,עיקר היסוד שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/5lTLSB7e,s|5lTLSB7e|,Good,1
he,ענין שכינתא בגלותא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/5zOm2XGW,s|5zOm2XGW|,Good,1
he,יין המשכר שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/67UYG1Aq,s|67UYG1Aq|,Good,1
he,ענין חג הפסח שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/6gw77tds,s|6gw77tds|,Good,1
he,"מהו הענין לשמח העניים ביום טוב, בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/72pUdWd6,s|72pUdWd6|,Good,1
he,ענין הסרת הערלה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/7MOmfqor,s|7MOmfqor|,Good,1
he,ענין ב המלאכים שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/7QxvUnFf,s|7QxvUnFf|,Unknown,-1
he,"ענין דומם, צומח, חי, מדבר שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/7rKlp6ua,s|7rKlp6ua|,Good,1
he,ענין אמונה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/81IpTHcN,s|81IpTHcN|,Good,1
he,ענין מטה ונחש שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/8jddbZDS,s|8jddbZDS|,Good,1
he,מוחא ולבא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/8lPKkxCe,s|8lPKkxCe|,Good,1
he,ענין נגלה וענין נסתר שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/8SjQLMI2,s|8SjQLMI2|,Good,1
he,להכריע ביגיעה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/8uy1xBc2,s|8uy1xBc2|,Good,1
he,"מהו, פרי עץ הדר, בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/8VrXchag,s|8VrXchag|,Good,1
he,בזיעת אפיך תאכל לחם שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/9IuOLWLz,s|9IuOLWLz|,Good,3
he,"להבין ההפרש בין עיקר ועצמות, ותוספת שפע שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/9OBAXhlB,s|9OBAXhlB|,Good,1
he,ענין המניעות והעיכובים שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/a74oxCyl,s|a74oxCyl|,Good,1
he,"ענין ""חזק"" שאומרים אחר סיום הסדרה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/Ahc3hYSM,s|Ahc3hYSM|,Good,1
he,לא אמות כי אחיה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/AlcJhnYS,s|AlcJhnYS|,Good,1
he,כל שרוח הבריות נוח הימנו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/An4SjeQ8,s|An4SjeQ8|,Good,1
he,כל העולמות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/aNhGvjiz,s|aNhGvjiz|,Good,1
he,ענין העבודה של קבלה והשפעה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/apeOy2Tr,s|apeOy2Tr|,Good,1
he,ולקחתם לכם פרי עץ הדר שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/av4R4Ve6,s|av4R4Ve6|,Good,1
he,והיה כי ירחק ממך שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/B7euDRtR,s|B7euDRtR|,Good,1
he,רם ה ושפל יראה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/bLiRLMFR,s|bLiRLMFR|,Unknown,-1
he,הפוסק מדברי תורה ועוסק בדברי שיחה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/bQKmarXE,s|bQKmarXE|,Good,1
he,"מהו, ויגרש את האדם מגן עדן, מטעם שלא יקח מעץ החיים שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/BuGLRvNX,s|BuGLRvNX|,Good,1
he,ענין בדיקת הצל בליל הושענא רבה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/BUrnqFTr,s|BUrnqFTr|,Good,1
he,ביאור לבקשת אלישע מאליהו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/buvvjKh2,s|buvvjKh2|,Good,1
he,ענין היגיעה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/bZVcZYjT,s|bZVcZYjT|,Good,1
he,ביאור לבחינת מזלא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/bzwCjyqk,s|bzwCjyqk|,Good,1
he,ההבדל בין אמונה להשכל שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/C5ZC7xiW,s|C5ZC7xiW|,Good,1
he,מהו קטנות וגדלות באמונה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/C6PNfOkA,s|C6PNfOkA|,Good,1
he,"זהר, אמור שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/C92p0RKS,s|C92p0RKS|,Good,1
he,כשבאים הרהורים לאדם שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/cBo1eIEb,s|cBo1eIEb|,Good,1
he,"מהו, שראשי תיבות אלול ""אני לדודי ודודי לי"" מרמזת בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/cDko5YMK,s|cDko5YMK|,Good,1
he,"מהו פסולת גורן ויקב, בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/cGO0h5sW,s|cGO0h5sW|,Good,1
he,ענין קבלה להשפיע שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/ChELpgJB,s|ChELpgJB|,Good,1
he,יראת ה הוא אוצרו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/CjOoVMfG,s|CjOoVMfG|,Unknown,-1
he,שבת בראשית,1.00,שם מקור,,https://archive.kbb1.com/he/sources/CqYrKzR2,s|CqYrKzR2|,Good,1
he,"אם תעזבני יום, יומים אעזבך שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/Csvhsilm,s|Csvhsilm|,Good,1
he,על כל קרבנך תקריב מלח שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/cVnwhXZS,s|cVnwhXZS|,Good,1
he,"ענין העלאת מ""ן שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/CvtxED7l,s|CvtxED7l|,Good,1
he,"אמונת רבו, מהו השיעור שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/czTv8O3p,s|czTv8O3p|,Good,1
he,שדה אשר ברכו ה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/d5b6LPDs,s|d5b6LPDs|,Good,2
he,ענין ג קוין שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/d9ZzhYwI,s|d9ZzhYwI|,Unknown,-1
he,שליטת ישראל על הקליפות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/DBRyBIGo,s|DBRyBIGo|,Good,1
he,סור מרע שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/DNEFmmo6,s|DNEFmmo6|,Good,1
he,מהו רם ה ושפל יראה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/e7VJ9nJs,s|e7VJ9nJs|,Unknown,-1
he,טהרת הכלי קבלה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/EjIpuTVg,s|EjIpuTVg|,Good,1
he,ישנו עם אחד שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/ejs92F2y,s|ejs92F2y|,Good,1
he,במסתרים תבכה נפשי שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/ENQy5Rdc,s|ENQy5Rdc|,Good,1
he,כי לא יראני האדם וחי שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/eoGGCnLJ,s|eoGGCnLJ|,Good,1
he,מיד רשעים יצילם שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/EUiMc0WV,s|EUiMc0WV|,Good,1
he,תורה שבכתב ותורה שבעל פה,1.00,שם מקור,,https://archive.kbb1.com/he/sources/f3HJApYj,s|f3HJApYj|,Good,2
he,בענין החיות דקדושה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/F63UqPv7,s|F63UqPv7|,Good,1
he,קראוהו בהיותו קרוב שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/FaZdHvzA,s|FaZdHvzA|,Good,1
he,"רוחניות נקרא, מה שלא יתבטל לעולם שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/Ftl9v7iT,s|Ftl9v7iT|,Good,1
he,החילוק בין אגרות הראשונות לאגרות האחרונות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/fZlK2OH1,s|fZlK2OH1|,Good,1
he,טעם שלא נוהגים לאכול אחד אצל השני בפסח שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/gDJwrcQC,s|gDJwrcQC|,Good,1
he,"שכר מצוה, מצוה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/gE6oshy2,s|gE6oshy2|,Good,1
he,מצוה הבאה בעבירה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/gFZZSmTY,s|gFZZSmTY|,Good,1
he,כל העבודה היא רק במקום שיש ב דרכים,1.00,שם מקור,,https://archive.kbb1.com/he/sources/GJSMibUd,s|GJSMibUd|,Good,1
he,בזהר בראשית שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/GpKjDPjJ,s|GpKjDPjJ|,Good,1
he,נשמת אדם תלמדנו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/gPNDiV2G,s|gPNDiV2G|,Good,1
he,ביאור על מזלא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/GuPSvLG2,s|GuPSvLG2|,Good,1
he,טעם למה שקורין שבת תשובה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/H1bzRHvu,s|H1bzRHvu|,Good,1
he,"עם הארץ, אימת שבת עליו שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/H9D2moKn,s|H9D2moKn|,Good,1
he,"מהו, הבדל בין צל דקדושה לצל דס""א שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/hdNwa3MW,s|hdNwa3MW|,Good,1
he,אין עוד מלבדו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/hFeGidcS,s|hFeGidcS|,Good,1
he,הזדככות המסך שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/hgiUBUTX,s|hgiUBUTX|,Good,1
he,ויבן ערי מסכנות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/HhX01FJm,s|HhX01FJm|,Good,1
he,טעם הצנע במצות שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/hjq3z1FI,s|hjq3z1FI|,Good,1
he,הבדל מששת ימי המעשה לשבת שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/HluhsVG8,s|HluhsVG8|,Good,1
he,יתרון ארץ בכל הוא שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/HN4sUqKR,s|HN4sUqKR|,Good,1
he,ענין כותל אחד משמש לשניהם שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/hnBUEevl,s|hnBUEevl|,Good,1
he,משה ושלמה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/hnN3Dh1K,s|hnN3Dh1K|,Good,1
he,"אורייתא וקב""ה וישראל חד הוא שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/hNvHwQkn,s|hNvHwQkn|,Good,1
he,ענין רמון שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/hrc0fZLf,s|hrc0fZLf|,Good,1
he,ענין אחור באחור שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/I9lmXFSw,s|I9lmXFSw|,Good,1
he,עיקר לרצות רק להשפיע שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/IKjYS3I4,s|IKjYS3I4|,Good,1
he,ממזר תלמיד חכם קודם לכהן גדול עם הארץ שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/IQDT5zRM,s|IQDT5zRM|,Good,1
he,במקום שאתה מוצא גדלותו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/iQoFjhJ4,s|iQoFjhJ4|,Good,1
he,דרוש נא דורשיך בדרשם פניך שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/ISMcdEeb,s|ISMcdEeb|,Good,1
he,"טבריא דרז""ל, טובה ראיתך שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/jKdw2a8j,s|jKdw2a8j|,Good,1
he,אי אפשר להיות חלל ריק בעולם שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/JLSdNwC2,s|JLSdNwC2|,Good,1
he,"מהו, אלהים אחרים, בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/JMcmIr1P,s|JMcmIr1P|,Good,1
he,"מהו יום ה וליל ה, בעבודה שמעתי ",1.00,שם מקור,,https://archive.kbb1.com/he/sources/JpjAhvAQ,s|JpjAhvAQ|,Unknown,-1
he,ידבנו לבו שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/jRNM0kiY,s|jRNM0kiY|,Good,1
he,ענין סנפיר וקשקשת שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/k6vNo4hw,s|k6vNo4hw|,Good,1
he,למאן דאמר מצוות אין צריכות כוונה שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/K8L76zp4,s|K8L76zp4|,Good,1
he,כעומד בפני מלך שמעתי ,1.00,שם מקור,,https://archive.kbb1.com/he/sources/Kn0se4td,s|Kn0se4td|,Good,1
